CDS0004, AGRICULTURA E MEIO AMBIENTE
CDS0007, INTRODUÇÃO AO DESENVOLVIMENTO SUSTENTÁVEL
CDS0008, MEIO AMBIENTE, CULTURA E SOCIEDADE
CDS0010, TRABALHO INTERDISCIPLINAR INTEGRADO 1
CDS0011, SISTEMAS SOCIOAMBIENTAIS E COMPLEXIDADE
CDS0012, POLÍTICAS PÚBLICAS E MEIO AMBIENTE
CDS0013, POPULAÇÃO E MEIO AMBIENTE
CDS0015, INDICADORES DE DESENVOLVIMENTO SUSTENTÁVEL
CDS0019, PRÁTICA DE PESQUISA 1
CDS0042, TÓPICOS ESPECIAIS EM DESENVOLVIMENTO SUSTENTÁVEL 2
CET0001, PLANEJAMENTO E GESTÃO EM TURISMO 1
CET0002, LEGISLAÇÃO TURÍSTICA
CET0005, PLANEJAMENTO E GESTÃO EM TURISMO 2
CET0006, FUNDAMENTOS DE ESTATÍSTICA APLICADO AO TURISMO
CET0007, PROJETO INTEGRADOR EM TURISMO 3
CET0012, ENOTURISMO
CET0013, PESQUISA EM TURISMO
CET0014, ESTRUTURAÇÃO E PROMOÇÃO DE DESTINOS
CET0022, ELABORAÇAO DE PROJETOS EM TURISMO
CET0038, ESTUDO DO TURISMO 1
CET0039, SUSTENTABILIDADE ÉTICA E TURISMO
CET0040, ESTUDO DO TURISMO 2
CET0041, CONSTRUÇÃO DO CONHECIMENTO CIENTÍFICO
CET0042, PROJETO INTEGRADOR EM TURISMO 1
CET0043, ESTUDO DO TURISMO 3
CET0044, COMUNICAÇÃO NO TURISMO
CET0045, ESTRUTURAS DE SUPORTE AO TURISMO
CET0050, EQUIPAMENTOS E SERVIÇOS TURÍSTICOS - HOSPEDAGEM
CET0051, EQUIPAMENTOS E SERVIÇOS TURÍSTICOS - LAZER
CET0052, EQUIPAMENTOS E SERVIÇOS TURISTICOS-AGENCIAMENTO OPERAÇÃO E TRANSPORTE
CET0053, EQUIPAMENTOS E SERVIÇOS TURÍSTICOS - EVENTOS
CET0054, EQUIPAMENTOS E SERVIÇOS TURÍSTICOS - ALIMENTAÇÃO
CET0055, PROJETO INTEGRADOR EM TURISMO 2
CET0091, ESCRIVIVENDO PELO E COM O TURISMO
CEM0005, DECRESCIMENTO: CONSUMIR MENOS PARA QUE TODOS VIVAM MELHOR
CEM0015, UNIVERSIDADE, SOCIEDADE E ESTADO
CEM0016, CORPO, CONHECIMENTO E SOCIEDADE
CEM0021, DIVERSIDADE SEXUAL E DE GÊNERO E POLÍTICAS PÚBLICAS
CEM0022, ESTUDOS AMAZÔNICOS
CEM0023, APRENDIZAGEM E DESENVOLVIMENTO MOTOR HUMANO 2
CEM0043, CULTURA PODER E RELAÇÕES RACIAIS
CEM0047, TÓPICOS ESPECIAIS SOBRE A AMAZÔNIA
CEM0051, PROMOÇÃO DA SAÚDE 3
CEM0054, INTRODUÇÃO A GESTÃO AMBIENTAL
CEM0056, PROCESSOS SÓCIO-HISTÓRICO CUBANO E CONTEXTO ATUAL
CEM0058, DIREITOS DA CRIANCA E DO ADOLESCENTE
CEM0067, MULTICULTURALISMO E BUDISMO NA CONTEMPORANEIDADE
CEM0097, DIREITOS HUMANOS E CIDADANIA
CEM0110, AGRICULTURA ALTERNATIVA
CEM0116, SAÚDE INTERNACIONAL
CEM0117, PENSAMENTO LGBT BRASILEIRO
CEM0125, HISTÓRIA E CINEMA: PERSPECTIVAS DOS FEMINISMOS NEGROS, DECOLONIAIS E INTERSECCIONAIS
CEM0130, DIREITOS E POLÍTICAS PÚBLICAS DAS JUVENTUDES
